Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
31501;B01755EQZW;"Tea for one Set ""Alani"" Porzellan, 4-teilig Kanne: 0,3 l, Tasse: 0,17 l";;0118SJ9WTO6;21;2;18/01/2017 15:44:01 MET;1;.;11;;;B01755EQZW;0;DEFAULT;;;
31620;B01LRYLJ4I;"Tea for one Set ""Harlekin"" Porzellan, 4-teilig Kanne: 0,3 l, Tasse: 0,17 l";;0118SJ9QWH6;21;2;18/01/2017 15:42:03 MET;1;.;11;;;B01LRYLJ4I;0;DEFAULT;;;
3S-L4V9-1K6A;B00H26QHV6;1kg - frischer Aroma-Röstkaffee - Café Cult - Irish Cream - ganze Bohnen;;0704UKYEVJJ;27. Sep;3;04/07/2018 10:06:13 MEST;1;;11;;;B00H26QHV6;0;DEFAULT;;;
40292;B006YVJCVM;Innere Gelassenheit Bio Tee Ayurvitaler Kräutertee;100g;0117MH00JO6;Mrz 95;11;17/01/2012 20:01:30 MET;4;;11;;;4004986402922;0;DEFAULT;;;
40298;B006YVHC3W;Männer Tee Bio Ayurvitaler Kräutertee;100g;0117MGZYQVO;Mrz 95;5;17/01/2012 19:55:23 MET;4;.;11;;;4004986402984;0;DEFAULT;;;
41775;B00ECBMW5Y;"Cha Cult - Tea for one Set ""Lucas"" 1 Stück";;0116OKNXRZU;22. Mai;1;16/01/2014 09:49:46 MET;1;.;11;;;B00ECBMW5Y;0;DEFAULT;;;
44-X0JP-1JBF;B017LJJ1B6;Barú Salty Caramel Hot Chocolate Powder, 1er Pack (1 x 250 g);;0730UQTUAC8;07. Feb;5;30/07/2018 11:02:22 MEST;1;;11;;;B017LJJ1B6;0;DEFAULT;;;
44350;B002ECON28;mono Teebecher, Glas, 0,3 l;;0111MB8U3YU;87;3;11/01/2012 13:13:45 MET;1;;11;;;B002ECON28;0;DEFAULT;;;
44444;B000LFFQEY;mono 44/444 Teekanne FILIO 1.5l;;0111MB8BNIU;132;2;11/01/2012 13:08:08 MET;1;.;11;;;B000LFFQEY;0;DEFAULT;;;
44500;B000LFBWJC;mono 44/500 Teekanne FILIO 1.5l, integr. St?vchen;;0111MB8BPLU;178;2;11/01/2012 13:06:58 MET;1;.;11;;;B000LFBWJC;0;DEFAULT;;;
