SKU	ASIN	Preis	Menge
SHNDAPR002	B06X8YXJ6Z	10.90	0
SHNDAPR013	B071DV6K6V	19.90	0
SQ-HU01-A5FS	B07GZP9QH6	29.95	0
TWFlug2016	B01F1XGD06	57.50	0
V10160	B00114V6BQ	35.00	0
V10163100	B007VM8DC2	4.40	0
V104151KG	B077MPF9X4	42.50	0
V10778	B00BR1KJL6	2.85	0
V10915	B07HWPBN3X	21.90	0
V11335	B01DT8K4VE	9.90	0
V11522	B01M13A6W7	16.90	0
V11748	B00JRLQQJC	2.80	0
V11752	B06X1FD632	23.90	0
V11753	B06WLQGJFK	24.90	0
V11775	B0718W53QG	24.90	0
V11776	B072NYPV2Z	29.90	0
V11777	B072NYPV2Y	29.90	0
V11778100	B075MDWP2J	4.90	0
V11780100	B075R7JF7L	4.90	0
V117801KG	B075R7JKCN	42.50	0
V11780250	B075R6YNYC	11.50	0
V11780500	B075R79WZZ	21.90	0
V11781	B00A48D5RI	23.90	0
V11784	B00LWWN05C	23.90	0
V11787	B075XJBFLN	54.90	0
V11791	B00A3NGVWA	16.90	0
V11792	B00HT9VICY	21.90	0
V11794	B07653BN91	17.50	0
V11795	B01F5YKCV2	53.90	0
V11796	B01ALVRE88	59.90	0
V11797	B01ALVRFVE	59.90	0
V11798	B01ALXQOJG	12.90	0
V11799	B01ALXQOVY	12.90	0
V11800	B01ALXQOY6	12.90	0
V11825100	B078RLSKBL	3.70	0
V118251KG	B00FGQJMW0	32.50	0
V11825250	B078RKTP7T	8.90	0
V11825500	B078RMG1L2	16.90	0
V119811KG	B07H6Y2KJC	28.90	0
V15007	B076SS89HD	29.90	0
V15020	B00RBLAVNW	19.95	0
V15021	B00RBLAPAG	19.95	0
V15022	B00RBLAOW0	19.95	0
V15023	B00RBLAVVO	19.95	0
V15024	B00RBLAOWK	19.95	0
V15025	B00RBLAOUW	19.95	0
V15026	B00RBLAW72	69.99	0
V15100	B07FFS87N5	9.90	0
V15118	B00EWSTAB6	7.20	0
V15140	B07HGV9J46	24.90	0
V15152	B01DDQLJXO	8.50	0
V15334	B086C612WS	32.00	0
V15342	B071DXP45W	19.90	0
X4-SL01-2O6U	B07FH864Y7	25.90	0
Z7-UDLH-PEFL	B07F1Q61WT	32.90	0
